Word1,Word2,Word1_Freq,Word2_Freq,Bigram_Freq
gloomy,excitement,102,159,1
main,room,12,1129,1
tar,boot,3,77,2
full,coat,302,154,1
black,satin,139,3,1
satin,waistcoat,3,32,1
whole,face,889,1410,10
face,seem,1410,1349,10
iron,lock,26,121,1
counter,stand,6,1039,1
counter,lay,6,414,1
black,bread,139,98,6
man,drunk,2546,203,2
chance,meeting,126,138,2
person,sit,382,1134,1
little,distance,1465,96,7
clerk,look,136,2970,4
condescend,contempt,18,125,1
culture,inferior,28,12,1
medium,height,7,35,6
continual,drinking,43,35,1
swollen,eyelid,11,3,1
keen,reddish,34,10,1
reddish,eye,10,1211,1
eye,gleam,1211,47,11
little,chink,1465,2,1
black,dress,139,285,1
dress,coat,285,154,5
button,miss,17,64,1
last,trace,1586,74,2
shirt,front,47,97,1
canvas,waistcoat,3,32,1
chin,look,25,2970,1
stiff,greyish,11,4,1
greyish,brush,4,23,1
head,drop,804,255,1
sticky,table,8,520,1
look,straight,2970,290,22
honour,sir,216,251,14
polite,conversation,34,294,1
command,respect,55,257,1
respect,education,257,80,1
genuine,sentiment,54,29,1
titular,counsellor,2,6,2
grandiloquent,style,1,70,1
momentary,desire,14,235,1
uneasy,aversion,112,23,1
immense,experience,42,62,1
innate,nobility,5,23,1
human,society,100,245,3
simple,curiosity,120,157,4
hay,barge,29,3,2
answer,raskolnikov,818,782,16
fifth,night,17,587,1
black,nail,139,35,1
conversation,seem,294,1349,2
languid,interest,1,272,1
upper,room,31,1129,1
funny,fellow,51,375,3
familiar,figure,56,123,2
heart,ache,897,58,7
useless,worm,32,13,1
lebeziatnikov,beat,76,201,1
lay,drunk,414,203,1
full,sense,302,168,2
positive,certainty,62,25,1
exemplary,citizen,2,22,1
modern,idea,28,798,3
idea,explain,798,378,1
political,economy,35,6,1
yellow,ticket,61,32,3
yellow,passport,61,22,2
certain,uneasiness,460,47,3
apparent,composure,48,39,2
counter,guffaw,6,14,1
innkeeper,smile,9,734,1
orator,begin,19,1745,1
increase,dignity,70,121,1
katerina,ivanovna,427,635,410
noble,heart,114,897,7
use,talk,663,1065,5
marmeladov,strike,41,344,2
mohair,shawl,1,39,1
cold,room,167,1129,1
catch,cold,309,167,10
begin,cough,1745,56,1
spit,blood,22,221,3
little,child,1465,758,42
morning,till,497,389,3
till,night,389,587,5
idle,listener,18,25,1
shawl,dance,39,112,3
gold,medal,74,8,1
bad,term,376,70,4
tell,someone,2482,187,1
past,honour,187,216,1
happy,day,208,1711,5
infantry,officer,6,165,1
authentic,documentary,3,3,1
documentary,evidence,3,203,2
remote,district,24,50,1
hopeless,poverty,25,54,1
distinguish,family,63,388,1
whole,year,889,871,12
numerous,calamity,24,13,1
magnificent,capital,34,79,1
innumerable,monument,13,4,1
fyodorovna,lippevechsel,5,8,1
perfect,bedlam,104,3,1
universal,history,40,66,10
suitable,book,20,232,1
attain,year,57,871,1
romantic,tendency,35,23,1
great,interest,1202,272,14
recount,extract,7,13,1
private,question,52,897,1
poor,girl,422,465,13
honest,work,106,382,2
special,talent,167,42,1
ivan,ivanitch,797,5,1
ivanitch,klopstock,5,1,1
civil,counsellor,26,6,1
day,pay,1711,324,1
linen,shirt,50,47,1
shirt,collar,47,27,1
ivanovna,walk,635,563,2
cheek,flush,100,129,2
lie,drunk,568,203,1
gentle,creature,55,189,3
little,voice,1465,588,3
fair,hair,65,166,7
little,face,1465,1410,16
darya,frantsovna,62,3,3
evil,character,75,219,1
time,try,2625,630,4
something,mighty,1444,17,1
hungry,child,36,758,1
child,cry,758,1704,4
saw,sonia,589,399,4
walk,straight,563,290,8
lay,thirty,414,84,1
little,shoulder,1465,175,2
saw,katerina,589,427,1
little,bed,1465,299,5
marmeladov,stop,41,411,2
brief,pause,58,109,6
unfortunate,occurrence,56,16,1
daughter,sofya,243,135,1
sofya,semyonovna,135,71,71
educate,man,31,2546,2
comfort,katerina,102,427,2
lame,man,46,2546,18
cleft,palate,3,4,3
numerous,family,24,388,3
cleave,palate,2,4,1
excellency,ivan,84,797,2
ivan,afanasyvitch,797,2,2
return,home,331,469,38
violent,excitement,89,159,2
whole,party,889,145,13
marmeladov,pay,41,324,1
new,arrival,511,81,8
arrival,continue,81,234,1
recent,success,31,64,1
situation,seem,31,1349,1
raskolnikov,listen,782,702,5
sonia,heard,399,175,2
semyon,zaharovitch,51,10,10
boil,cream,35,4,1
real,cream,215,4,1
decent,outfit,37,1,1
fifty,copeck,102,56,2
splendid,style,57,70,1
salt,meat,11,17,1
horse,radish,133,3,1
clean,collar,67,27,1
different,person,259,382,1
last,degree,1586,88,3
lead,semyon,267,51,1
past,service,187,186,1
foolish,weakness,87,52,1
rouble,forty,543,87,1
forty,copeck,87,56,3
little,poppet,1465,3,1
marmeladov,break,41,397,1
chin,begin,25,1745,2
poignant,love,14,1234,1
child,bewilder,758,34,1
sick,sensation,120,98,1
felt,vexed,657,24,1
cry,marmeladov,1704,41,1
marmeladov,recover,41,70,1
home,life,469,1043,1
fleeting,dream,5,348,1
great,deal,1202,250,164
next,day,356,1711,117
fifth,day,17,1711,2
egyptian,bridge,4,51,1
marmeladov,declare,41,226,1
thirty,copeck,84,56,6
dear,sir,480,251,18
cost,money,56,993,3
special,smartness,167,8,1
real,jaunty,215,9,1
smartness,mean,8,1062,2
hear,nothing,1132,1567,20
oh,judge,1118,174,1
filthy,drunkard,36,32,1
forgive,thee,359,86,2
thy,sin,66,134,1
thou,hast,169,33,24
hast,love,33,1234,2
forth,ye,65,16,1
ye,drunkard,16,32,1
ye,child,16,758,1
oh,lord,1118,121,4
dost,thou,10,169,9
thou,receive,169,349,1
oh,ye,1118,16,2
ye,wise,16,46,1
thy,kingdom,66,17,2
bench,exhaust,75,50,1
certain,impression,460,178,2
fine,clerk,120,136,1
address,raskolnikov,262,782,9
much,unsteadier,1227,1,1
draw,nearer,258,40,1
begin,pull,1745,250,8
hair,matter,166,609,1
disease,breathe,40,45,1
real,night,215,587,1
little,door,1465,750,2
stair,stand,129,1039,1
stand,ajar,1039,4,2
furthest,corner,7,304,3
sofa,cover,258,153,2
american,leather,16,30,4
old,deal,1356,250,1
table,stand,520,1039,5
iron,candlestick,26,17,5
divide,stood,30,52,1
stood,half,52,387,1
play,card,288,83,6
drink,tea,329,202,10
unceremonious,kind,4,278,1
kind,fly,278,248,1
graceful,woman,7,1047,1
magnificent,dark,34,208,1
hectic,flush,5,129,3
nervous,broken,102,43,1
broken,gasp,43,53,1
eye,glitter,1211,26,5
immovable,stare,11,49,1
thirty,year,84,871,12
strange,wife,548,408,1
stench,rise,8,287,1
inner,room,30,1129,5
room,cloud,1129,26,1
tobacco,smoke,11,34,3
smoke,float,34,21,1
young,child,776,758,2
sit,curl,1134,18,1
old,stand,1356,1039,1
stand,cry,1039,1704,1
pelisse,flung,5,22,1
bare,shoulder,43,175,2
whisper,something,324,1444,12
large,dark,201,208,5
push,raskolnikov,73,782,1
stranger,stop,55,411,1
next,room,356,1129,41
outer,door,14,750,2
sudden,scream,239,110,2
twelve,silver,82,42,1
meekly,crawl,8,23,1
child,asleep,758,134,1
floor,wake,177,148,1
control,begin,74,1745,1
violent,terror,89,141,1
eldest,girl,24,465,2
poor,woman,422,1047,24
woman,scream,1047,110,1
inner,door,30,750,1
inquisitive,face,28,1410,1
coarse,laugh,48,1027,2
laugh,face,1027,1410,1
head,wear,804,214,1
wear,cap,214,87,1
cap,thrust,87,63,1
dress,gown,285,10,1
gown,flung,10,22,1
sinister,shrill,14,16,1
shrill,outcry,16,23,1
way,amongst,1198,22,1
restore,order,25,367,2
hundredth,time,14,2625,11
coarse,abuse,48,84,1
sonia,want,399,1315,1
want,pomatum,1315,4,1
smartness,cost,8,56,1
big,game,111,88,1
grow,use,343,663,6
man,grow,2546,343,2
whole,race,889,30,2
artificial,terror,6,141,1
chapter,iii,172,53,22
broken,sleep,43,222,1
tiny,cupboard,58,35,1
dusty,yellow,7,61,1
paper,peel,240,4,1
average,height,5,35,1
old,chair,1356,362,1
paint,table,34,520,1
lay,thick,414,55,1
big,clumsy,111,15,1
clumsy,sofa,15,258,2
sofa,occupy,258,53,1
floor,space,177,42,1
serve,raskolnikov,126,782,1
old,student,1356,114,2
little,pillow,1465,103,2
table,stood,520,52,1
low,ebb,182,2,1
present,state,405,248,4
servant,girl,214,465,4
nervous,irritation,102,50,2
last,fortnight,1586,61,4
recognise,nastasya,80,123,1
sickly,face,23,1410,4
face,sit,1410,1134,1
stale,tea,10,202,2
yellow,lump,61,7,1
little,sausage,1465,10,2
cabbage,soup,9,43,4
capital,soup,79,43,1
nastasya,sit,123,1134,1
begin,chat,1745,7,1
praskovya,pavlovna,73,59,9
pavlovna,mean,59,1062,1
last,straw,1586,22,6
teach,child,93,758,1
raskolnikov,begin,782,1745,8
anything,amuse,796,85,1
much,money,1227,993,13
cry,raskolnikov,1704,782,12
good,god,1595,803,32
turn,pale,1279,238,39
heavy,letter,60,544,1
large,sheet,201,40,1
note,paper,456,240,1
dear,rodya,480,125,6
inevitable,silence,36,305,1
year,pension,871,31,1
ivanovitch,vahrushin,82,7,3
wait,till,639,389,19
thank,god,158,803,36
good,fortune,1595,92,3
hitherto,conceal,52,123,1
whole,truth,889,328,40
dounia,receive,321,349,1
precious,rodya,86,125,4
last,year,1586,871,31
dounia,love,321,1234,1
svidrigaïlov,treat,205,143,2
jeer,remark,40,218,1
painful,detail,72,153,1
generous,behaviour,71,37,1
marfa,petrovna,143,507,76
hard,time,131,2625,1
old,regimental,1356,3,2
regimental,habit,3,86,1
crazy,fellow,67,375,2
flighty,hope,1,240,1
sneer,behaviour,16,37,1
shameful,proposal,55,26,1
money,debt,993,67,1
terrible,scandal,241,88,3
reason,owe,479,90,1
awful,house,131,888,1
difficult,case,138,516,1
husband,implore,198,26,1
implore,dounia,26,321,1
wrong,interpretation,184,10,1
awful,scene,131,179,1
strike,dounia,344,321,1
hear,anything,1132,796,12
whole,hour,889,508,18
plain,peasant,48,259,1
heavy,shower,60,19,1
open,cart,682,78,1
seventeen,verst,18,19,1
contemptuous,look,34,2970,2
acquaintance,avoid,135,111,1
shameful,way,55,1198,2
landlord,begin,43,1745,1
slander,dounia,34,321,1
throw,dirt,329,17,2
family,affair,388,175,3
short,time,273,2625,16
dounia,bore,321,63,1
svidrigaïlov,return,205,331,1
feel,sorry,533,174,6
unmistakable,proof,34,68,1
letter,dounia,544,321,1
personal,explanation,84,155,3
secret,interview,292,82,2
great,heat,1202,43,2
defenceless,girl,5,465,2
clear,dounia,282,321,1
new,trial,511,84,1
whole,story,889,386,20
embrace,dounia,85,321,1
term,dounia,70,321,1
several,day,212,1711,9
whole,town,889,549,36
day,marfa,1711,143,2
several,time,212,2625,70
whole,ignominy,889,13,2
affair,rest,175,310,1
indelible,disgrace,1,96,1
several,family,212,388,2
sudden,everyone,239,177,1
everyone,begin,177,1745,1
whole,fortune,889,92,3
decision,till,76,389,1
pyotr,petrovitch,834,331,172
petrovitch,luzhin,331,111,5
drank,coffee,17,49,1
decide,answer,262,818,1
busy,man,56,2546,3
great,hurry,1202,192,7
whole,day,889,1711,27
presentable,man,4,2546,1
little,morose,1465,11,1
feel,sure,533,357,18
favourable,impression,14,178,4
mistaken,idea,15,798,1
many,indication,532,3,1
estimable,man,6,2546,1
practical,man,36,2546,3
good,deal,1595,250,45
dounia,explain,321,378,1
great,education,1202,80,1
generous,girl,71,465,2
passionate,heart,38,897,1
great,love,1202,1234,3
clever,girl,145,465,2
good,reason,1595,479,14
great,haste,1202,213,3
great,prudence,1202,5,1
happy,dounia,208,321,1
certain,difference,460,49,1
happiest,marriage,1,163,1
future,relationship,181,14,1
second,visit,304,290,2
receive,dounia,349,321,1
good,reputation,1595,46,1
experience,poverty,62,54,1
actual,phrase,38,94,1
legal,bureau,48,14,1
many,year,532,871,37
commercial,litigation,10,3,1
important,case,191,516,2
rodya,dear,125,480,1
great,use,1202,663,1
providential,blessing,2,29,1
express,doubt,205,343,1
matter,drop,609,255,2
regular,plan,92,151,1
complete,agreement,152,24,2
gain,everything,112,811,1
good,influence,1595,109,3
future,husband,181,198,5
remote,plan,24,151,1
great,hop,1202,83,1
university,study,48,129,1
waste,word,71,1439,6
word,offer,1439,181,1
refuse,dounia,197,321,1
effort,become,97,598,1
right,hand,927,1662,57
salary,earn,27,29,1
dounia,want,321,1315,1
equal,footing,65,30,9
dounia,speak,321,1198,1
joyful,piece,20,159,1
dear,boy,480,461,35
joyful,thought,20,549,1
marry,pyotr,368,834,3
write,anything,602,796,6
mean,upset,1062,82,1
innumerable,kiss,13,308,1
afanasy,ivanovitch,34,82,24
undertake,part,50,524,1
big,trunk,111,28,1
last,penny,1586,21,7
ninety,verst,10,19,2
third,class,156,105,4
whole,history,889,66,4
many,event,532,185,1
bless,till,95,389,1
love,dounia,1234,321,3
new,spirit,511,146,2
many,kiss,532,308,1
till,death,389,260,1
malignant,smile,28,734,3
threadbare,dirty,3,68,1
dirty,pillow,68,103,1
felt,cramped,657,3,1
little,yellow,1465,61,1
yellow,room,61,1129,1
mind,crave,851,11,1
meet,anyone,508,277,5
vassilyevsky,ostrov,6,5,4
vassilyevsky,prospect,6,17,1
speak,aloud,1198,149,10
chapter,iv,172,45,20
chief,fact,140,885,1
essential,question,54,897,2
smile,anticipate,734,29,1
magnificent,excuse,34,195,1
holy,mother,119,762,4
sensible,business,67,320,1
business,man,320,2546,10
avdotya,romanovna,119,112,112
government,post,77,63,2
beat,everything,201,811,2
descriptive,touch,1,179,1
naïve,question,17,897,1
bitterness,grow,11,343,1
whirl,idea,26,798,1
need,time,499,2625,2
chief,thing,140,1295,24
big,box,111,73,1
kind,man,278,2546,2
cart,cover,78,153,1
thousand,verst,614,19,1
coat,accord,154,109,1
raise,money,265,993,2
mutual,benefit,23,53,1
equal,share,65,60,2
drink,provide,329,57,1
real,fruit,215,15,2
whole,thing,889,1295,22
good,man,1595,2546,9
slip,something,94,1444,2
knit,woollen,13,5,1
woollen,shawl,5,39,1
old,eye,1356,1211,1
last,moment,1586,1301,21
truth,till,328,389,1
false,colour,67,40,1
colour,put,40,1071,1
god,bless,803,95,20
mother,write,762,602,1
half,year,387,871,2
wife,raise,408,265,1
owe,everything,90,811,2
sensible,man,67,2546,13
moral,freedom,92,94,1
bitter,pill,70,1,1
bitter,thing,70,1295,1
german,master,111,130,1
moral,dignity,92,121,1
unalloyed,gold,1,74,1
huge,diamond,49,27,2
legal,concubine,48,2,1
sell,everything,98,811,2
become,casuist,598,3,1
good,object,1595,267,3
rodion,romanovitch,97,82,82
romanovitch,raskolnikov,82,782,4
central,figure,10,123,1
whole,future,889,181,10
future,secure,181,21,1
rich,man,108,2546,8
famous,man,26,2546,1
sonia,marmeladov,399,41,1
eternal,victim,49,46,1
luzhin,smartness,111,8,1
tear,hide,449,217,1
mother,feel,762,533,1
whole,life,889,1043,34
rouble,pension,543,31,2
future,millionaire,181,16,1
millionaire,zeus,16,1,1
knit,shawl,13,39,1
familiar,ache,56,58,1
present,anguish,405,56,1
gather,strength,58,105,1
fantastic,question,60,897,1
unsolved,question,5,897,1
stifle,everything,22,811,1
sudden,start,239,214,2
thought,recur,549,13,1
unfamiliar,shape,4,19,1
little,adventure,1465,29,1
woman,walk,1047,563,1
twenty,pace,188,145,14
many,time,532,2625,22
sight,something,144,1444,1
sudden,desire,239,235,4
absurd,way,109,1198,2
light,silky,346,2,1
silky,material,2,54,2
great,piece,1202,159,1
little,kerchief,1465,11,1
bare,throat,43,48,1
lay,slant,414,4,1
draw,raskolnikov,258,782,2
whole,attention,889,145,2
head,sink,804,142,6
extreme,exhaustion,100,13,2
shock,sight,52,144,1
heavy,look,60,2970,3
girl,seem,465,1349,1
much,frequent,1227,19,1
fifteen,pace,142,145,4
unwelcome,man,1,2546,1
high,colour,285,40,1
red,lip,159,260,3
raskolnikov,felt,782,657,6
sudden,longing,239,24,1
fat,dandy,47,17,1
gentleman,ask,637,1621,2
haughty,astonishment,42,67,2
low,fellow,182,375,4
raskolnikov,rush,782,282,2
stout,gentleman,31,637,2
instant,someone,178,187,1
someone,seize,187,202,1
constable,stood,4,52,1
public,place,161,704,2
ask,raskolnikov,1621,782,9
raskolnikov,look,782,2970,15
grey,moustache,40,13,1
raskolnikov,cry,782,1704,9
unpractised,hand,1,1662,1
policeman,saw,38,589,1
policeman,bent,38,37,1
face,work,1410,382,10
genuine,compassion,54,35,1
begin,address,1745,262,1
gaze,blankly,289,10,2
policeman,begin,38,1745,1
girl,mutter,465,297,1
difficult,job,138,52,1
strange,figure,548,123,1
shameful,thing,55,1295,1
innocent,creature,102,189,2
sure,thing,357,1295,1
daughter,grow,243,343,1
raskolnikov,persist,782,58,1
raskolnikov,speak,782,1198,1
gentleman,heard,637,175,1
realise,something,74,1444,1
oh,shameful,1118,55,1
shameful,wretch,55,57,1
repeat,aloud,363,149,3
moment,something,1301,1444,4
something,seem,1444,1349,15
complete,revulsion,152,6,1
latter,turn,312,1279,3
turn,round,1279,493,65
raskolnikov,murmur,782,91,1
strange,word,548,1439,6
thought,stray,549,18,1
forget,everything,458,811,13
begin,life,1745,1043,4
life,anew,1043,8,2
empty,corner,100,304,1
shameful,beating,55,29,1
respectable,mother,56,762,1
certain,percentage,460,5,1
remain,chaste,302,8,1
splendid,word,57,1439,2
old,comrade,1356,21,2
welcome,anyone,36,277,1
great,intensity,1202,7,1
haughty,pride,42,127,3
candid,youth,26,106,1
dignity,lay,121,414,1
lay,conceal,414,123,5
comrade,understood,21,75,1
physical,strength,30,105,6
festive,company,6,150,1
blow,lay,136,414,1
gigantic,policeman,5,38,1
drinking,power,35,142,1
thing,strike,1295,344,2
failure,distress,14,69,1
unfavourable,circumstance,3,195,1
earn,money,29,993,4
whole,winter,889,34,2
razumihin,notice,344,475,2
chapter,v,172,30,6
raskolnikov,thought,782,549,3
razumihin,agitate,344,52,1
sinister,significance,14,32,1
ordinary,action,92,157,1
fantastic,thought,60,549,1
final,determination,55,40,2
begin,afresh,1745,8,2
little,cupboard,1465,35,4
month,past,356,187,6
nervous,shudder,102,79,1
feel,shiver,533,41,1
felt,cold,657,167,3
walk,right,563,927,2
weary,eye,29,1211,2
stifle,closeness,22,1,1
new,pleasant,511,56,1
pleasant,sensation,56,98,3
sensation,pass,98,521,1
morbid,irritability,22,27,1
paint,summer,34,70,1
summer,villa,70,15,2
green,foliage,70,1,1
dress,woman,285,1047,1
luxurious,carriage,8,179,1
curious,eye,89,1211,1
marmeladovs,yesterday,1,385,1
finish,eat,185,114,1
great,drowsiness,1202,7,1
reach,petrovsky,258,5,1
petrovsky,ostrov,5,5,1
morbid,condition,22,163,3
singular,actuality,6,2,1
extraordinary,semblance,177,9,1
monstrous,image,16,60,1
whole,picture,889,115,3
sick,dream,120,348,1
powerful,impression,30,178,1
nervous,system,102,41,1
fearful,dream,43,348,1
little,town,1465,549,15
heavy,day,60,1711,1
town,stand,549,1039,1
copse,lay,23,414,1
dark,blur,208,3,2
last,market,1586,45,1
market,garden,45,154,2
garden,stand,154,1039,2
big,tavern,111,103,1
hideous,hoarse,34,10,1
road,become,111,598,1
dusty,track,7,18,1
graveyard,stand,9,1039,1
stone,church,160,176,2
green,cupola,70,3,1
white,dish,173,20,1
dish,tie,20,79,1
table,napkin,520,9,1
special,sort,167,699,2
raisin,stick,2,84,1
unadorned,ikon,1,54,1
old,priest,1356,96,2
shake,head,194,804,1
little,grave,1465,78,3
young,brother,776,548,4
little,brother,1465,548,9
father,past,1140,187,1
peculiar,circumstance,99,195,3
circumstance,attract,195,60,1
dress,townspeople,285,7,1
peasant,woman,259,1047,24
tavern,stand,103,1039,1
strange,cart,548,78,1
big,cart,111,78,1
thick,leg,55,119,1
perfect,mountain,104,38,2
little,sorrel,1465,2,1
sorrel,beast,2,60,1
heavy,load,60,40,2
great,uproar,1202,20,2
drunken,peasant,90,259,3
blue,shirt,61,47,1
coat,throw,154,329,1
fleshy,face,8,1410,1
mikolka,shout,17,407,2
stand,straight,1039,290,1
little,mare,1465,15,1
crowd,laugh,230,1027,1
red,cotton,159,20,1
bead,headdress,4,1,1
thick,leather,55,30,1
leather,shoe,30,33,1
crack,nut,32,13,1
crowd,round,230,493,13
help,laugh,383,1027,5
young,fellow,776,375,32
help,mikolka,383,17,1
mare,tug,15,17,1
mikolka,fly,17,248,1
cry,mikolka,1704,17,3
poor,horse,422,133,2
poor,beast,422,60,2
bad,way,376,1198,2
old,man,1356,2546,289
laughter,break,148,397,2
cover,everything,153,811,2
help,smile,383,734,2
little,beast,1465,60,2
crowd,snatch,230,80,1
shout,someone,407,187,2
cart,join,78,64,1
riotous,song,5,46,1
felt,choke,657,21,1
woman,seize,1047,202,1
last,gasp,1586,53,7
begin,kick,1745,45,3
thick,shaft,55,7,1
effort,brandish,97,10,1
shout,round,407,493,1
shout,mikolka,407,17,3
heavy,thud,60,6,1
mikolka,swung,17,2,1
second,time,304,2625,30
luckless,mare,18,15,1
third,time,156,2625,29
heavy,measure,60,71,1
measure,blow,71,136,1
admire,spectator,33,23,1
mikolka,scream,17,110,1
iron,crowbar,26,2,1
poor,mare,422,15,1
mare,stagger,15,22,1
leap,beside,70,231,1
seize,anything,202,796,1
die,mare,426,15,1
mikolka,stand,17,1039,1
begin,deal,1745,250,1
deal,random,250,16,1
random,blow,16,136,1
mare,stretch,15,72,1
someone,shout,187,407,6
bloodshot,eye,5,1211,3
many,voice,532,588,3
poor,boy,422,461,10
sorrel,nag,2,10,1
arm,round,291,493,20
dead,head,220,804,1
little,fist,1465,82,3
voice,break,588,397,11
pant,chest,25,71,1
hair,soak,166,24,1
draw,deep,258,122,2
deep,breath,122,111,10
hideous,dream,34,348,2
sticky,warm,8,79,1
warm,blood,79,221,1
profound,amazement,47,85,2
stair,yesterday,129,385,1
feel,sick,533,120,6
eye,glow,1211,37,10
fearful,burden,43,44,2
red,sun,159,76,1
direct,way,81,1198,1
decisive,influence,16,109,2
whole,destiny,889,37,1
rag,picker,82,1,1
stink,courtyard,17,13,1
contemptuous,attention,34,145,1
table,set,520,420,2
cotton,handkerchief,20,75,1
lizaveta,ivanovna,159,635,5
everyone,call,177,660,1
young,sister,776,314,5
old,pawnbroker,1356,13,7
previous,day,81,1711,27
single,woman,73,1047,1
complete,slave,152,62,1
work,day,382,1711,3
special,warmth,167,30,1
moment,raskolnikov,1301,782,2
raskolnikov,catch,782,309,1
catch,sight,309,144,23
strange,sensation,548,98,5
intense,astonishment,79,67,1
little,woman,1465,1047,3
little,babe,1465,27,1
husband,interrupt,198,182,1
clock,lizaveta,193,159,1
man,condemn,2546,44,3
suitable,opportunity,20,64,1
certain,step,460,419,1
great,exactness,1202,4,1
dangerous,inquiry,48,79,1
certain,time,460,2625,2
chapter,vi,172,33,16
invite,lizaveta,123,159,1
ordinary,matter,92,609,1
fair,price,65,39,3
superstition,remain,13,302,1
something,strange,1444,548,15
peculiar,influence,99,109,1
previous,winter,81,34,1
call,pokorev,660,1,1
pawn,anything,24,796,1
old,silver,1356,42,2
little,gold,1465,74,1
gold,ring,74,107,3
red,stone,159,160,1
insurmountable,repulsion,2,23,1
little,tavern,1465,103,1
way,home,1198,469,18
